date,month_encoded,is_a_global_pandamic,is_crisis_situation,inflasion,political_stability,gdp_annual_growth_rate,mean_temperature,precipitation,ccpi_all_items,ccpi_food,ccpi_alchohol,ccpi_clothing,ccpi_housing,ccpi_transport,ccpi_communication,ccpi_culture,ccpi_restaurants,fp_lp_92,fp_lp_95,fp_lad,fp_lsd,usd_price
2018-01-15,0.0,False,False,5.8,-0.15,8.0,25.67,115.53,122.8,133.1,186.5,131.3,110.5,99.0,119.2,111.9,123.6,117.0,128.0,95.0,110.0,153.95
2018-02-15,0.0793732335844094,False,False,4.5,-0.15,5.7,26.45,98.42,121.9,129.3,187.1,134.5,110.6,98.9,119.2,111.9,123.6,117.0,128.0,95.0,110.0,154.925
2018-03-15,0.29229249349905684,False,False,4.2,-0.15,4.4,27.58,76.41,121.4,127.3,187.1,134.5,110.7,98.9,119.2,111.9,123.6,117.0,128.0,95.0,110.0,156.05
2018-04-15,0.5711574191366425,False,False,3.8,-0.15,3.7,28.21,146.03,121.5,126.8,190.7,130.8,110.7,100.4,119.2,112.6,123.6,117.0,128.0,95.0,110.0,155.675
2018-05-15,0.8274303669726425,False,False,4.0,-0.15,4.1,28.4,128.31,122.9,130.1,190.6,133.5,111.4,101.9,119.2,112.6,123.6,137.0,148.0,109.0,119.0,158.1
2018-06-15,0.9797464868072487,False,False,4.4,-0.15,4.8,28.16,67.68,125.4,135.8,190.6,133.8,111.9,107.9,119.2,112.6,126.6,137.0,148.0,109.0,119.0,159.65
2018-07-15,0.9797464868072487,False,False,5.4,-0.15,5.2,28.0,64.92,125.8,137.0,190.8,134.9,111.5,107.7,119.2,112.6,130.1,145.0,155.0,118.0,129.0,159.55
2018-08-15,0.8274303669726426,False,False,5.9,-0.15,4.9,27.74,90.58,125.8,135.9,196.4,135.3,111.4,109.6,119.2,112.6,130.1,145.0,157.0,118.0,130.0,160.15
2018-09-15,0.5711574191366426,False,False,4.3,-0.15,4.4,27.6,136.5,124.9,131.3,200.4,136.9,111.4,110.3,119.2,114.1,131.8,149.0,161.0,123.0,133.0,163.8
2018-10-15,0.29229249349905656,False,False,3.1,-0.15,1.5,27.05,241.92,124.6,128.7,201.3,137.4,112.0,112.5,119.2,114.1,132.5,155.0,169.0,123.0,141.0,170.35
2018-11-15,0.07937323358440962,False,False,3.3,-0.15,-1.2,26.34,328.43,126.2,132.6,201.1,137.7,112.1,111.8,113.7,113.8,132.5,145.0,169.0,116.0,141.0,176.55
2018-12-15,0.0,False,False,2.8,-0.15,-3.0,25.79,240.15,126.3,133.6,199.8,137.9,112.1,110.6,109.7,113.8,132.5,135.0,159.0,106.0,131.0,179.8
2019-01-15,0.0,False,False,3.7,-0.22,-3.5,25.67,115.53,127.4,130.3,199.9,141.9,115.7,107.2,109.7,113.8,132.5,123.0,147.0,99.0,118.0,182.25
2019-02-15,0.0793732335844094,False,False,4.0,-0.22,-1.8,26.45,98.42,126.8,127.5,201.7,142.5,115.7,107.0,109.7,116.1,132.5,129.0,152.0,103.0,129.0,178.65
2019-03-15,0.29229249349905684,False,False,4.3,-0.22,-0.1,27.58,76.41,126.6,125.5,217.9,142.6,115.7,108.2,109.7,116.1,132.5,132.0,159.0,104.0,134.0,178.55
2019-04-15,0.5711574191366425,False,False,4.5,-0.22,-1.0,28.21,146.03,127.0,125.6,219.3,142.8,115.7,111.0,109.7,116.2,132.5,132.0,159.0,104.0,134.0,174.6
2019-05-15,0.8274303669726425,False,True,5.0,-0.22,-1.5,28.4,128.31,129.0,131.1,220.1,143.9,115.7,111.4,109.7,116.6,135.9,135.0,164.0,104.0,136.0,176.25
2019-06-15,0.9797464868072487,False,True,3.8,-0.22,-1.8,28.16,67.68,130.2,134.5,219.5,145.1,115.6,113.6,109.7,116.6,136.3,138.0,164.0,104.0,136.0,176.7
2019-07-15,0.9797464868072487,False,False,3.3,-0.22,-1.1,28.0,64.92,130.0,133.5,218.4,145.9,115.7,113.5,109.7,116.6,136.3,136.0,159.0,104.0,131.0,175.725
2019-08-15,0.8274303669726426,False,False,3.4,-0.22,-0.5,27.74,90.58,130.1,132.1,218.8,147.2,115.7,117.2,109.7,118.7,136.3,138.0,163.0,104.0,134.0,177.175
2019-09-15,0.5711574191366426,False,False,5.0,-0.22,1.2,27.6,136.5,131.1,135.3,218.8,147.9,115.7,115.1,109.7,118.7,136.3,137.0,161.0,104.0,132.0,180.35
2019-10-15,0.29229249349905656,False,False,5.4,-0.22,0.7,27.05,241.92,131.3,137.4,218.7,148.1,115.3,113.9,109.7,118.7,136.3,137.0,161.0,104.0,132.0,181.8
2019-11-15,0.07937323358440962,False,False,4.4,-0.22,0.1,26.34,328.43,131.7,138.7,218.9,148.9,115.0,114.8,109.7,118.7,136.3,137.0,161.0,104.0,132.0,180.2
2019-12-15,0.0,False,False,4.8,-0.22,-0.3,25.79,240.15,132.4,142.0,219.2,149.0,114.9,115.5,100.4,117.5,136.3,137.0,161.0,104.0,132.0,181.1
2020-01-15,0.0,False,False,5.7,-0.22,-0.5,25.67,115.53,134.6,146.5,219.9,149.6,117.8,115.3,97.3,117.0,137.5,137.0,161.0,104.0,132.0,181.45
2020-02-15,0.0793732335844094,False,False,6.2,-0.22,-0.7,26.45,98.42,134.6,146.2,220.2,150.8,117.8,115.7,97.3,118.5,137.5,137.0,161.0,104.0,132.0,181.45
2020-03-15,0.29229249349905684,False,False,5.4,-0.31,-0.9,27.58,76.41,133.4,141.6,222.2,151.1,117.8,116.2,97.3,118.5,137.5,137.0,161.0,104.0,132.0,184.5
2020-04-15,0.5711574191366425,True,True,5.2,-0.35,-5.7,28.21,146.03,133.6,142.2,222.2,151.1,117.8,116.2,97.3,118.5,137.5,137.0,161.0,104.0,132.0,191.0
2020-05-15,0.8274303669726425,True,True,4.0,-0.35,-10.2,28.4,128.31,134.2,144.1,221.5,151.1,117.8,116.5,97.3,118.8,137.5,137.0,161.0,104.0,132.0,187.8
2020-06-15,0.9797464868072487,True,True,3.9,-0.35,-14.8,28.16,67.68,135.3,147.9,219.9,152.5,117.8,116.7,97.3,116.0,138.3,137.0,161.0,104.0,132.0,185.9
2020-07-15,0.9797464868072487,True,True,4.2,-0.35,-10.2,28.0,64.92,135.4,148.0,219.2,153.7,117.7,117.0,97.3,115.6,138.3,137.0,161.0,104.0,132.0,185.8
2020-08-15,0.8274303669726426,True,True,4.1,-0.35,0.3,27.74,90.58,135.4,148.4,221.6,154.3,117.7,117.0,97.3,116.5,139.1,137.0,161.0,104.0,132.0,183.5
2020-09-15,0.5711574191366426,True,True,4.0,-0.35,1.5,27.6,136.5,136.3,150.8,228.1,155.8,117.7,117.6,97.3,117.5,139.6,137.0,161.0,104.0,132.0,184.3
2020-10-15,0.29229249349905656,True,True,4.1,-0.35,1.1,27.05,241.92,136.5,151.2,229.6,156.2,117.7,117.6,97.3,117.5,139.6,137.0,161.0,104.0,132.0,184.5
2020-11-15,0.07937323358440962,True,True,4.1,-0.35,0.2,26.34,328.43,137.1,153.0,228.7,156.2,117.7,119.0,97.3,117.5,139.6,137.0,161.0,104.0,132.0,184.6
2020-12-15,0.0,True,True,4.2,-0.32,-0.7,25.79,240.15,138.0,155.1,228.6,156.4,117.7,121.1,97.3,117.5,139.6,137.0,161.0,104.0,132.0,186.7
2021-01-15,0.0,True,True,3.1,-0.32,-0.9,25.67,115.53,138.7,156.5,228.4,157.0,117.9,121.3,97.3,117.5,139.6,137.0,161.0,104.0,132.0,192.5
2021-02-15,0.0793732335844094,True,True,3.3,-0.32,1.2,26.45,98.42,139.1,157.7,228.6,157.8,118.0,121.7,97.3,117.5,139.6,137.0,161.0,104.0,132.0,194.0
2021-03-15,0.29229249349905684,True,True,4.1,-0.32,2.3,27.58,76.41,138.9,155.2,229.1,159.8,118.1,121.9,97.3,117.5,145.4,137.0,161.0,104.0,132.0,197.5
2021-04-15,0.5711574191366425,True,True,3.9,-0.32,4.2,28.21,146.03,138.8,155.0,229.6,159.8,118.1,122.0,97.3,117.5,145.4,137.0,161.0,104.0,132.0,200.0
2021-05-15,0.8274303669726425,True,True,4.5,-0.32,5.6,28.4,128.31,140.3,158.4,229.0,161.4,118.7,122.0,97.3,117.5,145.4,137.0,161.0,104.0,132.0,196.0
2021-06-15,0.9797464868072487,True,True,5.2,-0.32,9.4,28.16,67.68,142.4,164.6,229.3,161.4,118.7,123.6,97.3,117.5,145.4,157.0,184.0,111.0,144.0,197.0
2021-07-15,0.9797464868072487,True,True,5.7,-0.32,16.6,28.0,64.92,143.1,164.3,228.8,163.3,118.7,127.4,97.3,118.1,150.8,157.0,184.0,111.0,144.0,198.5
2021-08-15,0.8274303669726426,True,True,6.1,-0.32,10.4,27.74,90.58,143.5,165.4,230.0,165.1,118.4,127.4,97.3,118.3,150.8,157.0,184.0,111.0,144.0,199.5
2021-09-15,0.5711574191366426,True,True,5.7,-0.32,-2.3,27.6,136.5,144.1,165.9,229.8,165.1,118.6,127.4,97.3,118.3,150.8,157.0,184.0,111.0,144.0,199.0
2021-10-15,0.29229249349905656,True,True,7.6,-0.32,-5.8,27.05,241.92,146.9,170.6,229.8,167.3,120.8,127.6,97.3,119.0,162.2,157.0,184.0,111.0,144.0,201.0
2021-11-15,0.07937323358440962,True,True,9.9,-0.32,-3.2,26.34,328.43,150.7,179.7,234.8,169.2,122.7,128.9,97.3,119.0,163.9,157.0,184.0,111.0,144.0,201.0
2021-12-15,0.0,True,True,12.1,-0.32,-0.2,25.79,240.15,154.7,189.4,246.7,173.4,122.9,130.2,97.3,120.9,177.0,157.0,184.0,111.0,144.0,201.0
2022-01-15,0.0,False,False,14.2,-0.32,2.1,25.67,115.53,158.4,195.7,249.1,175.6,124.2,138.5,97.3,122.1,181.3,177.0,207.0,121.0,159.0,202.75
2022-02-15,0.0793732335844094,False,False,15.1,-0.21,1.8,26.45,98.42,160.1,198.2,251.1,181.6,124.5,142.7,97.3,127.8,182.0,177.0,207.0,121.0,159.0,201.48
2022-03-15,0.29229249349905684,False,True,18.7,-0.21,0.3,27.58,76.41,164.9,202.0,260.4,192.9,124.9,165.2,97.3,132.8,185.3,254.0,283.0,176.0,254.0,272.5
2022-04-15,0.5711574191366425,False,True,29.8,-0.21,-1.6,28.21,146.03,180.2,227.2,263.5,199.9,127.7,205.2,97.3,138.8,200.1,254.0,283.0,176.0,254.0,322.285
2022-05-15,0.8274303669726425,False,True,39.1,-0.21,-3.2,28.4,128.31,195.2,249.3,271.8,221.1,134.3,233.6,97.3,153.5,218.5,338.0,373.0,289.0,329.0,360.0
2022-06-15,0.9797464868072487,False,True,54.6,-0.21,-5.7,28.16,67.68,220.2,296.4,294.5,233.0,137.1,281.8,101.3,162.0,272.2,42.0,450.0,400.0,445.0,360.0
2022-07-15,0.9797464868072487,False,True,60.8,-0.21,-8.4,28.0,64.92,230.1,313.6,310.3,237.2,138.7,310.3,104.4,168.2,283.2,47.0,550.0,460.0,520.0,360.0
2022-08-15,0.8274303669726426,False,True,64.3,-0.21,-9.3,27.74,90.58,235.8,320.3,311.8,257.6,144.2,316.7,104.4,170.3,283.2,45.0,540.0,430.0,510.0,360.0
2022-09-15,0.5711574191366426,False,True,69.8,-0.21,-11.8,27.6,136.5,244.7,323.3,320.3,274.0,155.6,319.0,120.2,180.3,296.4,45.0,540.0,430.0,510.0,362.0
2022-10-15,0.29229249349905656,False,True,66.1,-0.21,-11.9,27.05,241.92,243.8,316.7,335.2,287.2,156.2,311.6,130.0,187.6,301.7,41.0,510.0,430.0,510.0,363.0
2022-11-15,0.07937323358440962,False,True,61.2,-0.21,-12.1,26.34,328.43,242.6,312.1,337.5,300.4,155.4,300.4,132.2,193.7,305.3,37.0,510.0,430.0,510.0,367.5
2022-12-15,0.0,False,True,57.2,-0.21,-12.4,25.79,240.15,243.2,311.3,335.7,312.0,155.7,302.2,132.2,200.1,305.3,37.0,510.0,420.0,510.0,367.5
